iter	Passed	Remaining
555	3541	1235
556	3547	1229
557	3554	1222
558	3560	1216
559	3566	1210
560	3573	1203
561	3579	1197
562	3585	1190
563	3592	1184
564	3598	1178
565	3604	1171
566	3610	1165
567	3616	1158
568	3622	1152
569	3628	1145
570	3635	1139
571	3641	1133
572	3648	1126
573	3654	1120
574	3661	1114
575	3668	1108
576	3675	1101
577	3681	1095
578	3687	1089
579	3694	1082
580	3700	1076
581	3707	1070
582	3713	1063
583	3719	1057
584	3726	1051
585	3732	1044
586	3739	1038
587	3745	1032
588	3752	1025
589	3759	1019
590	3765	1013
591	3771	1006
592	3778	1000
593	3784	993
594	3791	987
595	3797	981
596	3803	974
597	3810	968
598	3817	962
599	3823	955
600	3829	949
601	3836	943
602	3842	936
603	3848	930
604	3855	923
605	3861	917
606	3867	911
607	3874	904
608	3880	898
609	3885	891
610	3892	885
611	3898	879
612	3904	872
613	3910	866
614	3917	859
615	3923	853
616	3929	847
617	3936	840
618	3942	834
619	3949	828
620	3956	821
621	3963	815
622	3970	809
623	3976	802
624	3983	796
625	3989	790
626	3996	783
627	4002	777
628	4008	771
629	4014	764
630	4020	758
631	4026	751
632	4033	745
633	4040	739
634	4047	732
635	4053	726
636	4060	720
637	4066	713
638	4072	707
639	4078	701
640	4084	694
641	4091	688
642	4097	681
643	4104	675
644	4111	669
645	4117	662
646	4124	656
647	4130	650
648	4137	643
649	4143	637
650	4150	631
651	4157	624
652	4163	618
653	4170	612
654	4177	605
655	4183	599
656	4188	592
657	4195	586
658	4201	580
659	4208	573
660	4215	567
661	4221	561
662	4227	554
663	4234	548
664	4240	542
665	4246	535
666	4253	529
667	4259	522
668	4265	516
669	4272	510
670	4279	503
671	4284	497
672	4291	491
673	4297	484
674	4303	478
675	4309	471
676	4315	465
677	4322	459
678	4329	452
679	4336	446
680	4342	439
681	4349	433
682	4355	427
683	4363	421
684	4369	414
685	4376	408
686	4382	401
687	4389	395
688	4395	389
689	4401	382
690	4407	376
691	4413	369
692	4419	363
693	4427	357
694	4433	350
695	4440	344
696	4447	338
697	4454	331
698	4461	325
699	4468	319
