,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
1771,2013.0,0,2.0,1,1,East Downtown,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,13,114.0,4,0.0,1,1,6,32,50,301,87,0,moderate
1772,2011.0,0,1.0,1,1,Holly,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,14,253.0,2,25.0,2,1,27,57,87,350,19,0,strict
1773,2011.0,0,7.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,75.0,0,0.0,2,1,9,29,52,52,103,1,flexible
1774,2014.0,0,1.0,1,0,Govalle,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,9,450.0,1,0.0,4,1,0,0,0,222,0,0,moderate
1775,2012.0,1,1.0,1,1,Rosewood,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,13,185.0,1,0.0,2,1,22,33,52,327,22,0,strict
1776,2015.0,1,2.0,1,1,East Downtown,Apartment,Entire home/apt,2,2.0,1.0,1.0,Real Bed,16,145.0,1,0.0,1,1,16,17,17,22,23,0,strict
1777,2014.0,0,1.0,1,1,East Downtown,House,Entire home/apt,10,3.0,3.0,3.0,Real Bed,14,481.0,1,0.0,2,1,30,60,90,365,10,0,strict
1778,2012.0,0,3.0,1,1,Rosewood,House,Entire home/apt,6,1.0,2.0,4.0,Real Bed,16,115.0,2,15.0,1,1,23,53,83,358,21,0,strict
1779,2012.0,0,3.0,1,1,East Downtown,House,Shared room,2,2.0,1.0,1.0,Real Bed,12,54.0,1,15.0,2,1,15,45,75,346,90,0,flexible
1780,2014.0,0,2.0,1,1,Holly,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,18,250.0,2,25.0,2,1,10,13,43,288,1,0,moderate
1782,2015.0,1,1.0,1,0,Holly,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,18,78.0,2,49.0,1,1,0,0,1,1,24,0,moderate
1783,2014.0,1,4.0,1,1,East Downtown,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,17,225.0,1,0.0,1,1,10,25,48,314,5,0,strict
1784,2014.0,1,4.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,14,100.0,1,0.0,1,1,22,42,65,331,45,1,strict
1785,2014.0,0,14.0,1,1,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,12,236.0,1,0.0,2,1,26,42,72,347,3,0,strict
1786,2015.0,0,1.0,1,0,East Downtown,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,13,66.0,2,0.0,2,1,10,38,68,339,4,0,strict
1787,2011.0,0,7.0,1,1,East Downtown,House,Entire home/apt,8,2.0,2.0,3.0,Real Bed,15,125.0,2,25.0,2,1,21,40,64,330,87,1,moderate
1789,2014.0,0,1.0,1,0,Rosewood,House,Entire home/apt,7,3.0,4.0,4.0,Real Bed,15,410.0,1,0.0,2,1,0,0,0,139,2,0,strict
1790,2011.0,0,1.0,1,1,Holly,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,6,64.0,1,20.0,3,1,9,9,9,229,25,0,strict
1791,2012.0,0,1.0,1,0,Holly,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,19,850.0,1,0.0,3,1,0,0,0,5,7,0,strict
1792,2012.0,1,1.0,1,1,East Downtown,House,Entire home/apt,11,2.0,3.0,7.0,Real Bed,17,899.0,9,59.0,2,1,24,36,60,330,38,0,strict
1793,2012.0,0,1.0,1,1,Holly,House,Entire home/apt,4,1.0,2.0,1.0,Real Bed,17,185.0,1,0.0,3,1,15,45,75,350,5,0,strict
1794,2015.0,0,1.0,1,0,Govalle,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,15,149.0,2,25.0,2,1,4,29,29,33,3,0,flexible
1795,2012.0,0,1.0,1,1,Govalle,House,Entire home/apt,8,2.5,3.0,3.0,Real Bed,9,750.0,1,0.0,3,1,30,60,90,365,0,0,strict
1796,2014.0,0,1.0,1,0,East Downtown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,7,105.0,1,0.0,5,1,0,0,0,211,0,0,flexible
1797,2012.0,0,9.0,1,1,Holly,House,Entire home/apt,12,3.0,4.0,5.0,Real Bed,15,325.0,8,40.0,1,1,4,14,28,269,28,0,strict
1798,2013.0,0,1.0,1,1,Govalle,House,Entire home/apt,8,2.5,4.0,4.0,Real Bed,19,479.0,1,0.0,3,1,29,35,65,334,4,0,strict
1799,2013.0,0,1.0,1,0,East Downtown,Apartment,Entire home/apt,2,2.0,2.0,2.0,Real Bed,1,250.0,1,0.0,365,1,28,58,88,363,1,0,flexible
1800,2015.0,0,1.0,1,1,Rosewood,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,16,275.0,1,0.0,2,1,6,6,6,74,2,1,moderate
1801,2013.0,0,339.0,1,1,Rosewood,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,11,150.0,1,0.0,2,1,0,0,0,247,3,0,strict
1802,2011.0,0,1.0,1,0,Rosewood,House,Entire home/apt,4,2.0,3.0,2.0,Real Bed,12,125.0,2,25.0,2,1,28,58,88,363,17,0,strict
1803,2013.0,0,2.0,1,1,East Downtown,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,11,144.0,1,0.0,1,1,22,48,78,343,3,0,moderate
1805,2013.0,1,1.0,1,1,East Downtown,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,11,171.0,1,0.0,2,1,17,47,77,225,66,0,moderate
1806,2013.0,1,3.0,1,1,East Downtown,House,Entire home/apt,11,2.5,5.0,8.0,Real Bed,17,1000.0,10,75.0,2,1,27,55,82,351,24,0,strict
1807,2014.0,0,1.0,1,1,East Downtown,Apartment,Entire home/apt,3,1.0,1.0,3.0,Real Bed,13,150.0,2,50.0,2,1,4,4,4,132,11,0,strict
1808,2014.0,1,4.0,1,1,University of Texas,House,Private room,2,1.0,1.0,1.0,Real Bed,16,150.0,1,0.0,1,1,6,36,66,341,27,0,strict
1809,2014.0,0,1.0,1,0,East Downtown,House,Entire home/apt,8,2.5,2.0,3.0,Real Bed,16,158.0,1,0.0,2,1,0,0,0,188,4,0,strict
1810,2013.0,0,1.0,1,0,Rosewood,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,9,250.0,1,0.0,1,1,27,57,87,362,3,0,flexible
1811,2012.0,0,1.0,1,1,East Downtown,House,Entire home/apt,6,2.0,3.0,6.0,Real Bed,19,300.0,1,0.0,2,1,5,28,58,242,14,0,moderate
1812,2012.0,0,1.0,1,0,Govalle,House,Entire home/apt,5,1.0,1.0,2.0,Real Bed,1,325.0,5,25.0,1,1,7,37,67,342,3,0,flexible
1813,2013.0,0,339.0,1,1,Holly,House,Entire home/apt,13,3.5,4.0,6.0,Real Bed,14,499.0,1,0.0,2,1,13,36,65,332,5,0,strict
1814,2012.0,1,1.0,1,0,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,18,100.0,1,20.0,2,1,20,23,53,324,96,0,strict
1815,2013.0,0,1.0,1,0,Holly,House,Entire home/apt,5,1.0,3.0,3.0,Real Bed,15,325.0,1,0.0,1,1,29,59,89,364,2,0,flexible
1816,2012.0,0,2.0,1,1,Holly,House,Entire home/apt,7,1.0,3.0,5.0,Real Bed,22,99.0,1,0.0,2,1,0,0,0,52,0,0,flexible
1817,2013.0,0,339.0,1,1,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,11,172.0,1,0.0,2,1,22,46,76,351,30,0,strict
1818,2013.0,1,2.0,1,1,East Downtown,House,Private room,2,1.0,1.0,1.0,Real Bed,19,90.0,1,0.0,1,1,26,56,86,347,7,0,flexible
1819,2013.0,1,2.0,1,1,East Downtown,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,14,750.0,1,0.0,3,1,0,1,1,240,1,0,strict
1820,2014.0,0,1.0,1,0,Holly,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,14,300.0,1,0.0,3,1,0,0,0,209,0,1,flexible
1821,2014.0,0,1.0,1,0,East Downtown,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,20,180.0,6,50.0,2,1,2,8,8,29,0,0,flexible
