host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
2011.0,0,1.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,16,50.0,1,10.0,3,1,24,54,84,84,9,0,strict
2013.0,1,9.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,19,49.0,1,0.0,2,1,25,55,85,360,4,0,strict
2013.0,1,9.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,18,50.0,1,20.0,3,1,29,59,89,364,7,0,strict
2011.0,1,12.0,1,0,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,17,55.0,1,0.0,1,1,30,60,90,365,14,0,strict
2015.0,0,1.0,1,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,19,180.0,0,0.0,1,1,0,0,0,238,0,1,flexible
2015.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,8,36.0,1,10.0,1,1,21,51,81,356,6,0,moderate
2015.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,26,125.0,1,15.0,1,1,30,60,90,365,0,0,strict
2015.0,0,1.0,1,0,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,16,59.0,1,0.0,2,1,0,4,4,69,0,1,moderate
2014.0,1,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,6,49.0,2,25.0,1,1,4,4,4,254,4,0,strict
2015.0,0,1.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,12,40.0,1,0.0,1,1,0,0,0,132,0,0,flexible
2015.0,0,1.0,1,0,House,Private room,1,1.0,1.0,1.0,Real Bed,21,150.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2013.0,0,1.0,1,1,House,Private room,3,1.0,1.0,1.0,Real Bed,10,175.0,3,25.0,1,1,30,60,90,365,0,0,flexible
2014.0,0,1.0,1,1,House,Private room,6,1.0,1.0,2.0,Real Bed,20,50.0,4,10.0,1,1,19,44,63,153,76,0,moderate
2015.0,0,1.0,1,1,House,Entire home/apt,5,2.5,4.0,4.0,Real Bed,12,120.0,1,0.0,1,1,27,55,85,360,0,0,flexible
2015.0,0,1.0,1,0,House,Entire home/apt,8,2.0,3.0,3.0,Real Bed,18,450.0,1,0.0,1,1,0,0,0,68,0,0,flexible
2014.0,1,2.0,1,1,House,Private room,2,1.5,1.0,2.0,Real Bed,6,49.0,2,25.0,1,1,19,49,79,354,14,0,strict
2015.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,7,36.0,1,10.0,1,1,29,59,89,364,8,0,moderate
2015.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,19,75.0,1,20.0,1,1,30,60,90,365,1,0,strict
2014.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Airbed,22,50.0,1,0.0,1,1,30,60,90,353,1,0,flexible
2015.0,0,1.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,10,70.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,1.0,1,1,House,Private room,2,1.5,1.0,1.0,Real Bed,25,36.0,2,5.0,1,1,23,53,83,358,0,0,flexible
2015.0,0,2.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,16,110.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,1.0,1,0,House,Private room,1,1.0,1.0,1.0,Real Bed,15,200.0,1,0.0,1,1,0,0,0,134,0,0,flexible
2014.0,1,1.0,1,1,House,Private room,1,1.5,1.0,1.0,Real Bed,17,34.0,1,10.0,1,1,7,37,67,342,16,0,moderate
2015.0,0,1.0,1,1,Townhouse,Private room,4,1.0,1.0,1.0,Real Bed,25,59.0,4,15.0,1,1,30,60,90,365,2,0,flexible
2013.0,0,1.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,8,155.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,301.0,1,1,House,Entire home/apt,10,3.5,4.0,5.0,Real Bed,15,700.0,1,0.0,2,1,22,42,69,340,1,0,strict
2015.0,0,301.0,1,1,House,Entire home/apt,12,3.5,4.0,5.0,Real Bed,18,819.0,1,0.0,2,1,25,55,85,351,0,0,strict
2013.0,0,339.0,1,1,House,Entire home/apt,10,2.0,3.0,3.0,Real Bed,15,1200.0,1,0.0,2,1,0,0,0,0,2,0,strict
